nazivvideoigra,godinaizdanja,metascore,wikipedia_stranica,multiplayer,nazivproizvodac,nazivizdavac,nazivzanr,nazivplatforma,imelik
GTA 5,2013,97,Grand_Theft_Auto_V,DA,Rockstar North,Rockstar Games,akcijska avantura,"{PS3,PS4,""XBOX 360"",""XBOX One"",PC}","[{""Ime"": ""Michael"", ""Prezime"": ""DeSanta""}, {""Ime"": ""Trevor"", ""Prezime"": ""Phillips""}, {""Ime"": ""Franklin"", ""Prezime"": ""Clinton""}]"
GTA San Andreas,2004,95,Grand_Theft_Auto:_San_Andreas,NE,Rockstar North,Rockstar Games,akcijska avantura,"{PS2,PC}","[{""Ime"": ""Carl"", ""Prezime"": ""Johnson""}, {""Ime"": ""Sweet"", ""Prezime"": ""Johnson""}]"
Red Dead Redemption,2010,95,Red_Dead_Redemption,DA,Rockstar San Diego,Rockstar Games,akcijska avantura,"{PS3,""XBOX 360""}","[{""Ime"": ""John"", ""Prezime"": ""Marston""}]"
The Last of Us,2013,95,The_Last_of_Us,DA,Naughty Dog,Sony Computer Entertainment,akcijska avantura,"{PS3,PS4}","[{""Ime"": ""Joel"", ""Prezime"": ""Miller""}, {""Ime"": ""Ellie"", ""Prezime"": ""Williams""}]"
Uncharted 3,2011,92,Uncharted_3:_Drake%27s_Deception,DA,Naughty Dog,Sony Computer Entertainment,akcijska avantura,{PS3},"[{""Ime"": ""Nathan"", ""Prezime"": ""Drake""}, {""Ime"": ""Victor"", ""Prezime"": ""Sullivan""}]"
Watch Dogs,2014,82,Watch_Dogs,DA,Ubisoft Montreal,Ubisoft,akcijska avantura,"{PS3,PS4,""XBOX 360"",""XBOX One"",PC}","[{""Ime"": ""Aiden"", ""Prezime"": ""Pearce""}]"
Assassins Creed 2,2009,90,Assassin%27s_Creed_II,NE,Ubisoft Montreal,Ubisoft,akcijska avantura,"{PS3,""XBOX 360"",PC}","[{""Ime"": ""Ezio"", ""Prezime"": ""Auditore""}]"
Far Cry 3,2012,88,Far_Cry_3,DA,Ubisoft Montreal,Ubisoft,FPS,"{PS3,""XBOX 360"",PC}","[{""Ime"": ""Jason"", ""Prezime"": ""Brody""}]"
God of War 3,2010,92,God_of_War_III,NE,SCE Santa Monica Studio,Sony Computer Entertainment,hack and slash,{PS3},"[{""Ime"": ""Kratos"", ""Prezime"": """"}]"
Call of Duty 3,2006,90,Call_of_Duty_3,NE,Treyarch,Activision,FPS,"{PS2,PC}","[{""Ime"": ""James"", ""Prezime"": ""Doyle""}]"
Call of Duty Modern Warfare 2,2009,94,Call_of_Duty:_Modern_Warfare_2,DA,Infinity Ward,Activision,FPS,"{PS3,""XBOX 360"",PC}","[{""Ime"": ""John"", ""Prezime"": ""MacTavish""}, {""Ime"": ""Gary"", ""Prezime"": ""Sanderson""}]"
